X,Y,uncorrected mag data (nT),Base station field data (nT),corrected mag data (nT)
0,0,51296.54,51446.1,
0,0.5,51111.62,51446.8,
0,1,51482.96,51447.6,
0,1.5,51333.24,51447.5,
0,2,51356.43,51447.4,
0,2.5,51345.39,51447.4,
0,3,51386.06,51447.3,
0,3.5,51361.78,51447.1,
0,4,51388.59,51446.9,
0,4.5,51402.73,51446.9,
0,5,51386.58,51447.4,
0,5.5,51364.12,51447.4,
0,6,51352.4,51447.5,
0,6.5,51303.89,51447.7,
0,7,51235.96,51447.7,
0,7.5,51228.1,51447.2,
0,8,51238.55,51446.7,
0,8.5,51388.05,51446.6,
0,9,51523.67,51446.7,
0,9.5,51603.99,51446.7,
0,10,51665.78,51446.7,
0,10.5,51487.48,51446.7,
0,11,51651.2,51447,
0,11.5,51501.98,51447.2,
0,12,51373.3,51446.5,
0,12.5,51410.98,51446.3,
0,13,51393.32,51445.9,
0,13.5,51409.12,51446.2,
0,14,51436.47,51446.2,
0,14.5,51288.01,51446.3,
0,15,51524.31,51446.5,
0,15.5,51340.62,51447,
0,16,51317.61,51447.4,
0,16.5,51362.51,51447.5,
0,17,51292.92,51447.8,
0,17.5,51437.41,51448.2,
0,18,51342.87,51448.3,
0,18.5,51291.4,51447.9,
0,19,51360.64,51447.2,
0,19.5,51388.27,51447.1,
0,20,51452.39,51446.8,
0,20.5,51167.53,51446.5,
0,21,51398.76,51446.4,
0,21.5,51074.88,51445.9,
0,22,51324.5,51445.9,
0,22.5,51273.48,51446,
0,23,51334.09,51446.1,
0,23.5,51300.34,51446.5,
0,24,51150.2,51446.4,
0,24.5,51216.59,51446.4,
0,25,51314.36,51445.9,
0,25.5,51174.69,51445.8,
0,26,51257.53,51445.4,
0,26.5,51135.04,51445.2,
0,27,51191.72,51445.4,
0,27.5,51158.96,51445.7,
0,28,51034.56,51445.6,
-0.5,0,51370.8,51445.6,
-0.5,0.5,51188.38,51445.7,
-0.5,1,51426.01,51445.7,
-0.5,1.5,51373.94,51445.6,
-0.5,2,51395.12,51446.4,
-0.5,2.5,51411.09,51446.6,
-0.5,3,51407.22,51446.2,
-0.5,3.5,51383.81,51446,
-0.5,4,51360.6,51446.1,
-0.5,4.5,51405.5,51446.2,
-0.5,5,51358.07,51446.8,
-0.5,5.5,51379.5,51447.1,
-0.5,6,51350.12,51446.9,
-0.5,6.5,51284.02,51446.1,
-0.5,7,51274.86,51446.6,
-0.5,7.5,51244.5,51446.7,
-0.5,8,51379.9,51446.4,
-0.5,8.5,51391.72,51446.5,
-0.5,9,51509.47,51446.4,
-0.5,9.5,51546.07,51446.7,
-0.5,10,51549.74,51446.6,
-0.5,10.5,51523.03,51446.8,
-0.5,11,51514.875,51447.1,
-0.5,11.5,51589.33,51447,
-0.5,12,51642.85,51446.8,
-0.5,12.5,51470.8,51446.8,
-0.5,13,51414.27,51446.7,
-0.5,13.5,51285.34,51446.2,
-0.5,14,51387.3,51446.3,
-0.5,14.5,51330.455,51446.3,
-0.5,15,51430.715,51446.3,
-0.5,15.5,51348.545,51446.6,
-0.5,16,51348.52,51446.7,
-0.5,16.5,51244.84,51447.3,
-0.5,17,51380.97,51447.6,
-0.5,17.5,51350.87,51447.9,
-0.5,18,51427.45,51448,
-0.5,18.5,51271.01,51448.8,
-0.5,19,51413.78,51448.6,
-0.5,19.5,51338.01,51448.9,
-0.5,20,51446.74,51448.6,
-0.5,20.5,51291.01,51448,
-0.5,21,51321.1,51448.1,
-0.5,21.5,51357.67,51447.9,
-0.5,22,51104.31,51447.8,
-0.5,22.5,51296.9,51447.3,
-0.5,23,51336.82,51446.9,
-0.5,23.5,51389.58,51447.3,
-0.5,24,51219.38,51447.8,
-0.5,24.5,51164.57,51447.9,
-0.5,25,51313.35,51448.2,
-0.5,25.5,51093.42,51448.6,
-0.5,26,51212.35,51448.1,
-0.5,26.5,51206.92,51448.4,
-0.5,27,51155.56,51448.1,
-0.5,27.5,50988.54,51448.1,
-0.5,28,50955.235,51447.8,
-1,0,51232.85,51447.6,
-1,0.5,51113.44,51447.4,
-1,1,51369.06,51447.4,
-1,1.5,51370.92,51447.1,
-1,2,51259.89,51447.2,
-1,2.5,51331.44,51447.4,
-1,3,51472.68,51447.1,
-1,3.5,51295.29,51446.9,
-1,4,51312.96,51447,
-1,4.5,51378.95,51447.3,
-1,5,51401.71,51447.6,
-1,5.5,51357.82,51448.1,
-1,6,51289.08,51447.6,
-1,6.5,51240.67,51447.3,
-1,7,51275.24,51447.7,
-1,7.5,51281.39,51448.2,
-1,8,51310.43,51448.3,
-1,8.5,51393.72,51448.3,
-1,9,51431.56,51448.4,
-1,9.5,51414.55,51448.4,
-1,10,51416.15,51448.4,
-1,10.5,51428.36,51448.5,
-1,11,51378.55,51448.1,
-1,11.5,51441.91,51448.1,
-1,12,51346.24,51448.3,
-1,12.5,51499.23,51448.1,
-1,13,51435.22,51448,
